"surveyid";"name";"type";"created";"numsystems";"numsentences";"systems"
1;"Test1";"maxdiff";"";3;0;""
44;"Hunger Games";"maxdiff";"";4;10;"Italiano (Simona Brogli);Amatoriale;Google Translate;Modern MT"
